Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.659197388564126,0.6188787992047792,"tensor(0.6576, device='cuda:0')","tensor(0.7935, device='cuda:0')"
2,0.6351814565517134,0.6148154812284036,"tensor(0.6877, device='cuda:0')","tensor(0.8149, device='cuda:0')"
3,0.6266372754412183,0.6045888880691906,"tensor(0.6989, device='cuda:0')","tensor(0.8228, device='cuda:0')"
4,0.6225197206614381,0.6252788821659466,"tensor(0.6759, device='cuda:0')","tensor(0.8066, device='cuda:0')"
5,0.6192685683905068,0.6046204038775793,"tensor(0.6951, device='cuda:0')","tensor(0.8201, device='cuda:0')"
6,0.6157617205280369,0.6019659827251246,"tensor(0.6855, device='cuda:0')","tensor(0.8134, device='cuda:0')"
7,0.6168490431066287,0.5958056706603211,"tensor(0.7237, device='cuda:0')","tensor(0.8397, device='cuda:0')"
8,0.6144541423704665,0.6022919569865312,"tensor(0.6878, device='cuda:0')","tensor(0.8150, device='cuda:0')"
9,0.6138854794583078,0.6022806858072186,"tensor(0.7022, device='cuda:0')","tensor(0.8250, device='cuda:0')"
10,0.6098374166225983,0.6076894845112716,"tensor(0.6918, device='cuda:0')","tensor(0.8178, device='cuda:0')"
11,0.6122829196816784,0.6032627502290329,"tensor(0.6931, device='cuda:0')","tensor(0.8187, device='cuda:0')"
12,0.6060479518215535,0.5907761625724264,"tensor(0.7477, device='cuda:0')","tensor(0.8556, device='cuda:0')"
13,0.6028734516289275,0.5899940463575987,"tensor(0.7538, device='cuda:0')","tensor(0.8596, device='cuda:0')"
14,0.6032961245815632,0.5907022823201548,"tensor(0.7509, device='cuda:0')","tensor(0.8578, device='cuda:0')"
15,0.6017511383456698,0.5917558959214995,"tensor(0.7469, device='cuda:0')","tensor(0.8551, device='cuda:0')"
16,0.6011115519677178,0.5918879163737344,"tensor(0.7420, device='cuda:0')","tensor(0.8519, device='cuda:0')"
17,0.6011850002963665,0.5943855159353502,"tensor(0.7267, device='cuda:0')","tensor(0.8417, device='cuda:0')"
18,0.599694111589658,0.5925899711575838,"tensor(0.7405, device='cuda:0')","tensor(0.8509, device='cuda:0')"
19,0.5997536657220226,0.5901237032791176,"tensor(0.7529, device='cuda:0')","tensor(0.8590, device='cuda:0')"
20,0.6001756645865359,0.59454347001444,"tensor(0.7289, device='cuda:0')","tensor(0.8432, device='cuda:0')"
21,0.5990670899213371,0.592619396377318,"tensor(0.7409, device='cuda:0')","tensor(0.8512, device='cuda:0')"
22,0.5993592973987935,0.5899403006723611,"tensor(0.7534, device='cuda:0')","tensor(0.8594, device='cuda:0')"
23,0.5996177274796922,0.5911106060046961,"tensor(0.7449, device='cuda:0')","tensor(0.8538, device='cuda:0')"
24,0.5994509463593111,0.5912208630897031,"tensor(0.7472, device='cuda:0')","tensor(0.8553, device='cuda:0')"
25,0.599287949123625,0.5910890220415475,"tensor(0.7516, device='cuda:0')","tensor(0.8582, device='cuda:0')"
26,0.5999153193275807,0.5905895109223848,"tensor(0.7508, device='cuda:0')","tensor(0.8576, device='cuda:0')"
27,0.5998687117786731,0.5922728992334687,"tensor(0.7413, device='cuda:0')","tensor(0.8514, device='cuda:0')"
28,0.5993262446027691,0.5912563113292845,"tensor(0.7462, device='cuda:0')","tensor(0.8547, device='cuda:0')"
29,0.5997275204981788,0.5904245004795565,"tensor(0.7526, device='cuda:0')","tensor(0.8588, device='cuda:0')"
30,0.5996862094281084,0.5924076101567486,"tensor(0.7396, device='cuda:0')","tensor(0.8503, device='cuda:0')"
31,0.5996569357181,0.5899182280691544,"tensor(0.7522, device='cuda:0')","tensor(0.8586, device='cuda:0')"
