Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6463914900639299,0.6171761392661841,"tensor(0.5511, device='cuda:0')","tensor(0.7106, device='cuda:0')"
2,0.6258167255732973,0.5897474871708615,"tensor(0.6731, device='cuda:0')","tensor(0.8046, device='cuda:0')"
3,0.6164543116623062,0.5846971749964327,"tensor(0.6731, device='cuda:0')","tensor(0.8046, device='cuda:0')"
4,0.612858543456611,0.5813912997151366,"tensor(0.6633, device='cuda:0')","tensor(0.7975, device='cuda:0')"
5,0.6073697152531753,0.5883543864630236,"tensor(0.6711, device='cuda:0')","tensor(0.8032, device='cuda:0')"
6,0.6058098910597421,0.5798689619739457,"tensor(0.6898, device='cuda:0')","tensor(0.8164, device='cuda:0')"
7,0.6033191262286598,0.5840146090134536,"tensor(0.6832, device='cuda:0')","tensor(0.8118, device='cuda:0')"
8,0.601326740836188,0.5790653141713379,"tensor(0.6945, device='cuda:0')","tensor(0.8197, device='cuda:0')"
9,0.5987962964859049,0.5758181152367355,"tensor(0.7069, device='cuda:0')","tensor(0.8283, device='cuda:0')"
10,0.5991024747490883,0.5770300781667823,"tensor(0.6831, device='cuda:0')","tensor(0.8117, device='cuda:0')"
11,0.5954225376500921,0.6044155971543623,"tensor(0.5638, device='cuda:0')","tensor(0.7211, device='cuda:0')"
12,0.5941273225313526,0.5759298479793096,"tensor(0.7027, device='cuda:0')","tensor(0.8254, device='cuda:0')"
13,0.5953085359375355,0.570300146199689,"tensor(0.7390, device='cuda:0')","tensor(0.8499, device='cuda:0')"
14,0.5932413036540404,0.5755377963627919,"tensor(0.7209, device='cuda:0')","tensor(0.8378, device='cuda:0')"
15,0.5920556932687759,0.567393835523341,"tensor(0.7413, device='cuda:0')","tensor(0.8514, device='cuda:0')"
16,0.5891474269456782,0.5767978218817474,"tensor(0.7074, device='cuda:0')","tensor(0.8286, device='cuda:0')"
17,0.5882444609651121,0.5694983595668679,"tensor(0.7324, device='cuda:0')","tensor(0.8456, device='cuda:0')"
18,0.5873872241857698,0.6008418494521981,"tensor(0.6034, device='cuda:0')","tensor(0.7527, device='cuda:0')"
19,0.589559497027579,0.5805138178391032,"tensor(0.6956, device='cuda:0')","tensor(0.8205, device='cuda:0')"
20,0.5829811236363346,0.5693836201830665,"tensor(0.7344, device='cuda:0')","tensor(0.8469, device='cuda:0')"
21,0.5826075524091721,0.568094178444088,"tensor(0.7371, device='cuda:0')","tensor(0.8486, device='cuda:0')"
22,0.5827836480181096,0.5655942336462512,"tensor(0.7365, device='cuda:0')","tensor(0.8483, device='cuda:0')"
23,0.5833152650650275,0.565870450864924,"tensor(0.7437, device='cuda:0')","tensor(0.8530, device='cuda:0')"
24,0.5824317358181639,0.5646795814875329,"tensor(0.7308, device='cuda:0')","tensor(0.8445, device='cuda:0')"
25,0.5821331091603991,0.5652044685465274,"tensor(0.7493, device='cuda:0')","tensor(0.8567, device='cuda:0')"
26,0.581162898659201,0.5668318892764573,"tensor(0.7376, device='cuda:0')","tensor(0.8490, device='cuda:0')"
27,0.5818651134811216,0.5683542656721455,"tensor(0.7368, device='cuda:0')","tensor(0.8485, device='cuda:0')"
28,0.5801017485180143,0.5636407926236049,"tensor(0.7416, device='cuda:0')","tensor(0.8516, device='cuda:0')"
29,0.5796821349126807,0.5644063813851612,"tensor(0.7448, device='cuda:0')","tensor(0.8537, device='cuda:0')"
30,0.5798342856183901,0.5671189681138142,"tensor(0.7444, device='cuda:0')","tensor(0.8535, device='cuda:0')"
31,0.5795848031165236,0.5649352514802819,"tensor(0.7423, device='cuda:0')","tensor(0.8521, device='cuda:0')"
32,0.5801401361191677,0.5659530385591016,"tensor(0.7453, device='cuda:0')","tensor(0.8541, device='cuda:0')"
33,0.5792052826638949,0.5661315771907863,"tensor(0.7439, device='cuda:0')","tensor(0.8531, device='cuda:0')"
34,0.5816684365272522,0.5654543394794559,"tensor(0.7474, device='cuda:0')","tensor(0.8554, device='cuda:0')"
35,0.5803601187417062,0.5654741265986225,"tensor(0.7493, device='cuda:0')","tensor(0.8567, device='cuda:0')"
