Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6501432887073291,0.5997815045094727,"tensor(0.6242, device='cuda:0')","tensor(0.7686, device='cuda:0')"
2,0.6286517185301094,0.602780402591913,"tensor(0.6312, device='cuda:0')","tensor(0.7739, device='cuda:0')"
3,0.6195158875720986,0.5872196606775322,"tensor(0.6354, device='cuda:0')","tensor(0.7770, device='cuda:0')"
4,0.6144948585306184,0.5881294208292914,"tensor(0.6857, device='cuda:0')","tensor(0.8136, device='cuda:0')"
5,0.6110106488153085,0.584777779360809,"tensor(0.6887, device='cuda:0')","tensor(0.8157, device='cuda:0')"
6,0.607154077834497,0.5814244015382068,"tensor(0.6824, device='cuda:0')","tensor(0.8112, device='cuda:0')"
7,0.6041785912367247,0.5856071412563324,"tensor(0.6764, device='cuda:0')","tensor(0.8070, device='cuda:0')"
8,0.6005379245064016,0.5746059503295634,"tensor(0.6999, device='cuda:0')","tensor(0.8234, device='cuda:0')"
9,0.6007319486115948,0.5785929268539542,"tensor(0.6924, device='cuda:0')","tensor(0.8182, device='cuda:0')"
10,0.5972367261173361,0.5722905626096347,"tensor(0.7105, device='cuda:0')","tensor(0.8307, device='cuda:0')"
11,0.5954849837442576,0.5712962641869441,"tensor(0.7310, device='cuda:0')","tensor(0.8446, device='cuda:0')"
12,0.594918255268012,0.5958235322838963,"tensor(0.6373, device='cuda:0')","tensor(0.7785, device='cuda:0')"
13,0.5951045523634402,0.575797524930227,"tensor(0.7178, device='cuda:0')","tensor(0.8357, device='cuda:0')"
14,0.5909178508287769,0.571968885784102,"tensor(0.7150, device='cuda:0')","tensor(0.8338, device='cuda:0')"
15,0.5915664388971814,0.5743561531647597,"tensor(0.7135, device='cuda:0')","tensor(0.8328, device='cuda:0')"
16,0.5873888025723272,0.568194115073374,"tensor(0.7386, device='cuda:0')","tensor(0.8497, device='cuda:0')"
17,0.5851258015481092,0.5672788032800844,"tensor(0.7420, device='cuda:0')","tensor(0.8519, device='cuda:0')"
18,0.5859897935415729,0.5677253605410604,"tensor(0.7359, device='cuda:0')","tensor(0.8479, device='cuda:0')"
19,0.5840660183359001,0.5667373887678184,"tensor(0.7360, device='cuda:0')","tensor(0.8479, device='cuda:0')"
20,0.5843048139901484,0.5690045796408512,"tensor(0.7315, device='cuda:0')","tensor(0.8449, device='cuda:0')"
21,0.5836683728937375,0.5675252727647819,"tensor(0.7404, device='cuda:0')","tensor(0.8508, device='cuda:0')"
22,0.5839195760377383,0.5666986264214657,"tensor(0.7410, device='cuda:0')","tensor(0.8513, device='cuda:0')"
23,0.5829503691550029,0.5662872184916298,"tensor(0.7386, device='cuda:0')","tensor(0.8497, device='cuda:0')"
24,0.5836445877991491,0.5673058668870737,"tensor(0.7355, device='cuda:0')","tensor(0.8476, device='cuda:0')"
25,0.5833419452784425,0.5683428974139808,"tensor(0.7344, device='cuda:0')","tensor(0.8469, device='cuda:0')"
26,0.583950677728754,0.5660620468972933,"tensor(0.7401, device='cuda:0')","tensor(0.8507, device='cuda:0')"
27,0.5822396459594622,0.5664839785878021,"tensor(0.7391, device='cuda:0')","tensor(0.8500, device='cuda:0')"
