Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6581815265245357,0.6424680818425547,"tensor(0.5236, device='cuda:0')","tensor(0.6873, device='cuda:0')"
2,0.6376836505734315,0.6064248667790157,"tensor(0.6897, device='cuda:0')","tensor(0.8163, device='cuda:0')"
3,0.6304910465822382,0.6053470643145022,"tensor(0.6894, device='cuda:0')","tensor(0.8162, device='cuda:0')"
4,0.623412758995921,0.6103766699238579,"tensor(0.6803, device='cuda:0')","tensor(0.8097, device='cuda:0')"
5,0.6221795580902342,0.6231107928670279,"tensor(0.5582, device='cuda:0')","tensor(0.7165, device='cuda:0')"
6,0.6179413924277839,0.6164833525619885,"tensor(0.6256, device='cuda:0')","tensor(0.7697, device='cuda:0')"
7,0.6110014416656252,0.6090158114929011,"tensor(0.6733, device='cuda:0')","tensor(0.8047, device='cuda:0')"
8,0.6090368865910223,0.6069599319212508,"tensor(0.6773, device='cuda:0')","tensor(0.8076, device='cuda:0')"
9,0.607590773853205,0.6031468665540809,"tensor(0.7021, device='cuda:0')","tensor(0.8250, device='cuda:0')"
10,0.6078257880852385,0.602210286820289,"tensor(0.7139, device='cuda:0')","tensor(0.8331, device='cuda:0')"
11,0.606511652595916,0.5954499204855154,"tensor(0.7470, device='cuda:0')","tensor(0.8552, device='cuda:0')"
12,0.6051499572724609,0.6008937490163463,"tensor(0.6981, device='cuda:0')","tensor(0.8222, device='cuda:0')"
13,0.6046053721111709,0.5990205806965875,"tensor(0.7123, device='cuda:0')","tensor(0.8320, device='cuda:0')"
14,0.6046136733839067,0.6026077341325212,"tensor(0.6981, device='cuda:0')","tensor(0.8222, device='cuda:0')"
15,0.6041907802603003,0.6011144982116057,"tensor(0.7101, device='cuda:0')","tensor(0.8305, device='cuda:0')"
16,0.6025629997632261,0.601644878635312,"tensor(0.7097, device='cuda:0')","tensor(0.8302, device='cuda:0')"
17,0.6025612767848928,0.5977567173171752,"tensor(0.7322, device='cuda:0')","tensor(0.8454, device='cuda:0')"
18,0.6015871641368179,0.5972904940642932,"tensor(0.7335, device='cuda:0')","tensor(0.8463, device='cuda:0')"
19,0.601924350516776,0.6010776039692435,"tensor(0.7192, device='cuda:0')","tensor(0.8367, device='cuda:0')"
20,0.6027829620545193,0.6028891894781944,"tensor(0.7092, device='cuda:0')","tensor(0.8299, device='cuda:0')"
21,0.6020105943336325,0.6030034194193264,"tensor(0.6976, device='cuda:0')","tensor(0.8219, device='cuda:0')"
22,0.6022572261675939,0.6015063807515815,"tensor(0.7158, device='cuda:0')","tensor(0.8343, device='cuda:0')"
23,0.6017897220612582,0.599843886081535,"tensor(0.7148, device='cuda:0')","tensor(0.8337, device='cuda:0')"
24,0.601593066259461,0.5997693124088911,"tensor(0.7180, device='cuda:0')","tensor(0.8358, device='cuda:0')"
25,0.6021672601543241,0.6017879066195818,"tensor(0.7118, device='cuda:0')","tensor(0.8316, device='cuda:0')"
26,0.6026774717463275,0.5990671713163357,"tensor(0.7268, device='cuda:0')","tensor(0.8418, device='cuda:0')"
27,0.6023666340920885,0.5982345789670944,"tensor(0.7255, device='cuda:0')","tensor(0.8409, device='cuda:0')"
28,0.6018358442490384,0.5986343492375742,"tensor(0.7254, device='cuda:0')","tensor(0.8409, device='cuda:0')"
29,0.6017934947069419,0.5970581983870799,"tensor(0.7280, device='cuda:0')","tensor(0.8426, device='cuda:0')"
30,0.6029030427462974,0.5995525790028052,"tensor(0.7246, device='cuda:0')","tensor(0.8403, device='cuda:0')"
31,0.6023798598828962,0.6006020193937982,"tensor(0.7178, device='cuda:0')","tensor(0.8357, device='cuda:0')"
