Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6488525839680332,0.616882711648941,"tensor(0.6561, device='cuda:0')","tensor(0.7924, device='cuda:0')"
2,0.633190407591351,0.6082926646317586,"tensor(0.6807, device='cuda:0')","tensor(0.8100, device='cuda:0')"
3,0.6284779901221648,0.6022767740311009,"tensor(0.7000, device='cuda:0')","tensor(0.8235, device='cuda:0')"
4,0.6268873298067158,0.6212093104230295,"tensor(0.6239, device='cuda:0')","tensor(0.7684, device='cuda:0')"
5,0.6230312540369519,0.6292632322500248,"tensor(0.5477, device='cuda:0')","tensor(0.7078, device='cuda:0')"
6,0.6191183997917984,0.6131493995095244,"tensor(0.6533, device='cuda:0')","tensor(0.7903, device='cuda:0')"
7,0.6191216497603109,0.6012580379991248,"tensor(0.6947, device='cuda:0')","tensor(0.8199, device='cuda:0')"
8,0.6148704825821569,0.5963432546889428,"tensor(0.7273, device='cuda:0')","tensor(0.8421, device='cuda:0')"
9,0.6113467908511727,0.5962795715520878,"tensor(0.7321, device='cuda:0')","tensor(0.8454, device='cuda:0')"
10,0.6105500277826341,0.594885386747889,"tensor(0.7404, device='cuda:0')","tensor(0.8508, device='cuda:0')"
11,0.6101375745009567,0.5999498677135694,"tensor(0.7082, device='cuda:0')","tensor(0.8292, device='cuda:0')"
12,0.6084352312451702,0.607048641041954,"tensor(0.6777, device='cuda:0')","tensor(0.8079, device='cuda:0')"
13,0.608447547686302,0.5981951698218242,"tensor(0.7208, device='cuda:0')","tensor(0.8377, device='cuda:0')"
14,0.6081697157884048,0.5974293277405276,"tensor(0.7305, device='cuda:0')","tensor(0.8442, device='cuda:0')"
15,0.6074524804697199,0.596992824927415,"tensor(0.7330, device='cuda:0')","tensor(0.8460, device='cuda:0')"
16,0.6062442195617547,0.5982982932340981,"tensor(0.7274, device='cuda:0')","tensor(0.8422, device='cuda:0')"
17,0.6054542797096705,0.5962910959036043,"tensor(0.7355, device='cuda:0')","tensor(0.8476, device='cuda:0')"
18,0.6057011416908038,0.5943952220501286,"tensor(0.7426, device='cuda:0')","tensor(0.8523, device='cuda:0')"
19,0.6060458507578251,0.5953545307759012,"tensor(0.7368, device='cuda:0')","tensor(0.8484, device='cuda:0')"
20,0.6062668650332144,0.5960616156606391,"tensor(0.7359, device='cuda:0')","tensor(0.8479, device='cuda:0')"
21,0.6057406176449889,0.5959786002588744,"tensor(0.7374, device='cuda:0')","tensor(0.8489, device='cuda:0')"
22,0.6056654847274392,0.5953602640345546,"tensor(0.7395, device='cuda:0')","tensor(0.8502, device='cuda:0')"
23,0.6049505403991473,0.5959822030940859,"tensor(0.7369, device='cuda:0')","tensor(0.8486, device='cuda:0')"
24,0.6057075284800287,0.5943877930098241,"tensor(0.7419, device='cuda:0')","tensor(0.8518, device='cuda:0')"
