Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6482906373122991,0.6202902335046542,"tensor(0.6376, device='cuda:0')","tensor(0.7787, device='cuda:0')"
2,0.6328034080186132,0.6514100571080009,"tensor(0.4438, device='cuda:0')","tensor(0.6148, device='cuda:0')"
3,0.6258900467369516,0.6153758677220581,"tensor(0.6574, device='cuda:0')","tensor(0.7933, device='cuda:0')"
4,0.6211469742958828,0.6105894180807737,"tensor(0.7127, device='cuda:0')","tensor(0.8323, device='cuda:0')"
5,0.6169497522257142,0.6045298685531805,"tensor(0.7150, device='cuda:0')","tensor(0.8338, device='cuda:0')"
6,0.6160574105836577,0.6109820672191015,"tensor(0.6958, device='cuda:0')","tensor(0.8206, device='cuda:0')"
7,0.6136869731343398,0.6133334831436081,"tensor(0.7275, device='cuda:0')","tensor(0.8422, device='cuda:0')"
8,0.6119457091189037,0.6193845977287481,"tensor(0.6553, device='cuda:0')","tensor(0.7917, device='cuda:0')"
9,0.6111939088520357,0.610206351274311,"tensor(0.6935, device='cuda:0')","tensor(0.8190, device='cuda:0')"
10,0.6089706611582788,0.6227214286232939,"tensor(0.7088, device='cuda:0')","tensor(0.8296, device='cuda:0')"
11,0.6084227441983708,0.6076980972349053,"tensor(0.7084, device='cuda:0')","tensor(0.8293, device='cuda:0')"
12,0.6011222399518652,0.61431187907658,"tensor(0.7154, device='cuda:0')","tensor(0.8341, device='cuda:0')"
13,0.5997348341270018,0.6045973327490363,"tensor(0.7425, device='cuda:0')","tensor(0.8522, device='cuda:0')"
14,0.600453684706304,0.6061320033403906,"tensor(0.7367, device='cuda:0')","tensor(0.8484, device='cuda:0')"
15,0.5994611573800191,0.5991493164017649,"tensor(0.7377, device='cuda:0')","tensor(0.8490, device='cuda:0')"
16,0.5991674152092409,0.6052153008704139,"tensor(0.7047, device='cuda:0')","tensor(0.8268, device='cuda:0')"
17,0.5985378575021938,0.6010072600133348,"tensor(0.7314, device='cuda:0')","tensor(0.8449, device='cuda:0')"
18,0.5978953171584566,0.6079581067113593,"tensor(0.7376, device='cuda:0')","tensor(0.8490, device='cuda:0')"
19,0.5983543258349774,0.6053100421582118,"tensor(0.7246, device='cuda:0')","tensor(0.8403, device='cuda:0')"
20,0.597192647409136,0.6094795168921499,"tensor(0.7335, device='cuda:0')","tensor(0.8463, device='cuda:0')"
21,0.5971265952971022,0.610096938834332,"tensor(0.7235, device='cuda:0')","tensor(0.8396, device='cuda:0')"
