Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6538144039400553,0.6217381600106117,"tensor(0.5962, device='cuda:0')","tensor(0.7470, device='cuda:0')"
2,0.6351569807630474,0.6157339767064198,"tensor(0.6772, device='cuda:0')","tensor(0.8076, device='cuda:0')"
3,0.6275103847354145,0.6034581454673617,"tensor(0.7108, device='cuda:0')","tensor(0.8310, device='cuda:0')"
4,0.6226888796535589,0.6077752541197409,"tensor(0.7057, device='cuda:0')","tensor(0.8274, device='cuda:0')"
5,0.6204753164517678,0.6210063601484394,"tensor(0.6120, device='cuda:0')","tensor(0.7593, device='cuda:0')"
6,0.6148040042085162,0.6291000158479898,"tensor(0.5692, device='cuda:0')","tensor(0.7255, device='cuda:0')"
7,0.6132360982187723,0.605619754531596,"tensor(0.7054, device='cuda:0')","tensor(0.8272, device='cuda:0')"
8,0.6102233513937159,0.5948888597512009,"tensor(0.7389, device='cuda:0')","tensor(0.8498, device='cuda:0')"
9,0.6092321031679542,0.5979952115823727,"tensor(0.7268, device='cuda:0')","tensor(0.8418, device='cuda:0')"
10,0.6066348532498893,0.5971841437391715,"tensor(0.7268, device='cuda:0')","tensor(0.8418, device='cuda:0')"
11,0.6064197797391374,0.6004907565541787,"tensor(0.7184, device='cuda:0')","tensor(0.8362, device='cuda:0')"
12,0.6055721375396697,0.5954897810917089,"tensor(0.7338, device='cuda:0')","tensor(0.8465, device='cuda:0')"
13,0.6055950067811093,0.594680500207561,"tensor(0.7390, device='cuda:0')","tensor(0.8499, device='cuda:0')"
14,0.605566783476684,0.5945118081451642,"tensor(0.7395, device='cuda:0')","tensor(0.8502, device='cuda:0')"
15,0.6041455503742573,0.5947461287574013,"tensor(0.7397, device='cuda:0')","tensor(0.8504, device='cuda:0')"
16,0.6043042346077451,0.5958066983978347,"tensor(0.7353, device='cuda:0')","tensor(0.8474, device='cuda:0')"
17,0.6041532494759155,0.593417506996948,"tensor(0.7451, device='cuda:0')","tensor(0.8539, device='cuda:0')"
18,0.6049316548189875,0.5945570052850364,"tensor(0.7391, device='cuda:0')","tensor(0.8500, device='cuda:0')"
19,0.6045492778895265,0.599463153593611,"tensor(0.7191, device='cuda:0')","tensor(0.8366, device='cuda:0')"
20,0.6050359788587538,0.5954598114632144,"tensor(0.7331, device='cuda:0')","tensor(0.8460, device='cuda:0')"
21,0.6058333354481196,0.5951135196898243,"tensor(0.7356, device='cuda:0')","tensor(0.8477, device='cuda:0')"
22,0.6039340657702947,0.5970144953468058,"tensor(0.7279, device='cuda:0')","tensor(0.8425, device='cuda:0')"
23,0.60383896832749,0.5952707195636069,"tensor(0.7330, device='cuda:0')","tensor(0.8459, device='cuda:0')"
24,0.6042406200352362,0.5934254161202082,"tensor(0.7435, device='cuda:0')","tensor(0.8529, device='cuda:0')"
25,0.603885008369462,0.5981327678897593,"tensor(0.7267, device='cuda:0')","tensor(0.8417, device='cuda:0')"
26,0.603688316830134,0.597340321481818,"tensor(0.7288, device='cuda:0')","tensor(0.8431, device='cuda:0')"
27,0.6047191670385458,0.5965229564964181,"tensor(0.7306, device='cuda:0')","tensor(0.8443, device='cuda:0')"
28,0.603209040427612,0.59513061146925,"tensor(0.7373, device='cuda:0')","tensor(0.8488, device='cuda:0')"
29,0.6042515468799462,0.5968582429508171,"tensor(0.7330, device='cuda:0')","tensor(0.8460, device='cuda:0')"
30,0.6041752203541287,0.5952722079092914,"tensor(0.7340, device='cuda:0')","tensor(0.8466, device='cuda:0')"
31,0.6037865664999363,0.594465303834122,"tensor(0.7383, device='cuda:0')","tensor(0.8495, device='cuda:0')"
32,0.6046890184535818,0.5967881531998662,"tensor(0.7289, device='cuda:0')","tensor(0.8432, device='cuda:0')"
33,0.6034195875212297,0.5957349432577,"tensor(0.7374, device='cuda:0')","tensor(0.8488, device='cuda:0')"
34,0.604542552414587,0.5980934553807324,"tensor(0.7244, device='cuda:0')","tensor(0.8402, device='cuda:0')"
35,0.604357137518414,0.5973402674835507,"tensor(0.7268, device='cuda:0')","tensor(0.8418, device='cuda:0')"
36,0.6040652904470089,0.5941653484755224,"tensor(0.7411, device='cuda:0')","tensor(0.8513, device='cuda:0')"
37,0.6043437956753424,0.595215915453316,"tensor(0.7378, device='cuda:0')","tensor(0.8491, device='cuda:0')"
