Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6383825157279686,0.6156738583404239,"tensor(0.6044, device='cuda:0')","tensor(0.7534, device='cuda:0')"
2,0.6243080458272312,0.5976240626066038,"tensor(0.6500, device='cuda:0')","tensor(0.7879, device='cuda:0')"
3,0.6137992869115482,0.5833883996647183,"tensor(0.6980, device='cuda:0')","tensor(0.8221, device='cuda:0')"
4,0.6120935706895286,0.5832867944004512,"tensor(0.7020, device='cuda:0')","tensor(0.8249, device='cuda:0')"
5,0.6093995816753073,0.5849997452875175,"tensor(0.6969, device='cuda:0')","tensor(0.8214, device='cuda:0')"
6,0.6060221265306918,0.6078472411868596,"tensor(0.5769, device='cuda:0')","tensor(0.7317, device='cuda:0')"
7,0.6046093380299665,0.5842664516208196,"tensor(0.7013, device='cuda:0')","tensor(0.8244, device='cuda:0')"
8,0.6001550608898624,0.5926958056959776,"tensor(0.6525, device='cuda:0')","tensor(0.7897, device='cuda:0')"
9,0.5951289396291062,0.5759345393369694,"tensor(0.7255, device='cuda:0')","tensor(0.8409, device='cuda:0')"
10,0.5927170253027294,0.5712651313826589,"tensor(0.7436, device='cuda:0')","tensor(0.8530, device='cuda:0')"
11,0.5934497169140032,0.5708450797465768,"tensor(0.7446, device='cuda:0')","tensor(0.8536, device='cuda:0')"
12,0.5905806372352576,0.5715900393995909,"tensor(0.7373, device='cuda:0')","tensor(0.8488, device='cuda:0')"
13,0.5914938024292558,0.5694108027042729,"tensor(0.7425, device='cuda:0')","tensor(0.8522, device='cuda:0')"
14,0.5928182221191415,0.5709285718379634,"tensor(0.7443, device='cuda:0')","tensor(0.8534, device='cuda:0')"
15,0.5912846439218117,0.5704896683149999,"tensor(0.7421, device='cuda:0')","tensor(0.8519, device='cuda:0')"
16,0.5921071645945816,0.5692035338961252,"tensor(0.7479, device='cuda:0')","tensor(0.8558, device='cuda:0')"
17,0.5910958960273508,0.5715928204578928,"tensor(0.7482, device='cuda:0')","tensor(0.8560, device='cuda:0')"
18,0.5884420931086702,0.5708892197892217,"tensor(0.7418, device='cuda:0')","tensor(0.8518, device='cuda:0')"
19,0.5885271851162789,0.5706379242462687,"tensor(0.7450, device='cuda:0')","tensor(0.8539, device='cuda:0')"
20,0.5883714396948532,0.5704507507605128,"tensor(0.7454, device='cuda:0')","tensor(0.8541, device='cuda:0')"
21,0.5896637826147726,0.5710454221704219,"tensor(0.7419, device='cuda:0')","tensor(0.8518, device='cuda:0')"
22,0.5888752218146446,0.5722591401916919,"tensor(0.7430, device='cuda:0')","tensor(0.8525, device='cuda:0')"
23,0.5900384343024028,0.5712473048727111,"tensor(0.7424, device='cuda:0')","tensor(0.8522, device='cuda:0')"
24,0.5901427611834922,0.5669321789599882,"tensor(0.7551, device='cuda:0')","tensor(0.8605, device='cuda:0')"
25,0.5889698688130257,0.5695408938249739,"tensor(0.7491, device='cuda:0')","tensor(0.8566, device='cuda:0')"
26,0.590245669360383,0.570053425608295,"tensor(0.7488, device='cuda:0')","tensor(0.8563, device='cuda:0')"
27,0.5898276068017645,0.5724506357518753,"tensor(0.7438, device='cuda:0')","tensor(0.8531, device='cuda:0')"
28,0.5909130162859367,0.5696286330423733,"tensor(0.7504, device='cuda:0')","tensor(0.8574, device='cuda:0')"
29,0.5901431457723602,0.5702657057802276,"tensor(0.7505, device='cuda:0')","tensor(0.8574, device='cuda:0')"
30,0.5913192788928242,0.573650259045091,"tensor(0.7423, device='cuda:0')","tensor(0.8521, device='cuda:0')"
31,0.5888111086846408,0.5697543830564706,"tensor(0.7490, device='cuda:0')","tensor(0.8565, device='cuda:0')"
32,0.5907811442295373,0.5732983834672682,"tensor(0.7435, device='cuda:0')","tensor(0.8529, device='cuda:0')"
33,0.587937100900937,0.5719794296097047,"tensor(0.7415, device='cuda:0')","tensor(0.8516, device='cuda:0')"
34,0.5900047948047266,0.5729969728111041,"tensor(0.7344, device='cuda:0')","tensor(0.8469, device='cuda:0')"
