Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6581120464508816,0.6302471858735131,"tensor(0.5594, device='cuda:0')","tensor(0.7174, device='cuda:0')"
2,0.6400199497150163,0.6548306939035359,"tensor(0.4764, device='cuda:0')","tensor(0.6453, device='cuda:0')"
3,0.6337865793098838,0.6087533585210838,"tensor(0.6814, device='cuda:0')","tensor(0.8105, device='cuda:0')"
4,0.6259069606914358,0.6098442939248415,"tensor(0.6470, device='cuda:0')","tensor(0.7856, device='cuda:0')"
5,0.6258351136062105,0.6027164587585052,"tensor(0.7260, device='cuda:0')","tensor(0.8413, device='cuda:0')"
6,0.6216057685472197,0.6010052439304862,"tensor(0.7225, device='cuda:0')","tensor(0.8389, device='cuda:0')"
7,0.6200719479534585,0.6036995187549308,"tensor(0.6744, device='cuda:0')","tensor(0.8055, device='cuda:0')"
8,0.6169030983316697,0.6125620541596176,"tensor(0.6560, device='cuda:0')","tensor(0.7923, device='cuda:0')"
9,0.6153757820947695,0.5954338042157712,"tensor(0.7222, device='cuda:0')","tensor(0.8387, device='cuda:0')"
10,0.6099815007488606,0.5933301612587258,"tensor(0.7434, device='cuda:0')","tensor(0.8528, device='cuda:0')"
11,0.6087366600157851,0.5924210214968955,"tensor(0.7459, device='cuda:0')","tensor(0.8544, device='cuda:0')"
12,0.607716466852669,0.5958839647545673,"tensor(0.7351, device='cuda:0')","tensor(0.8474, device='cuda:0')"
13,0.6065443714417643,0.5969635487192928,"tensor(0.7315, device='cuda:0')","tensor(0.8450, device='cuda:0')"
14,0.6067736439280591,0.5963095248040586,"tensor(0.7298, device='cuda:0')","tensor(0.8438, device='cuda:0')"
15,0.6061090038994611,0.5967992982356856,"tensor(0.7370, device='cuda:0')","tensor(0.8486, device='cuda:0')"
16,0.6048794532731429,0.5945674216393197,"tensor(0.7432, device='cuda:0')","tensor(0.8527, device='cuda:0')"
17,0.6038978371958611,0.5938703540233102,"tensor(0.7472, device='cuda:0')","tensor(0.8553, device='cuda:0')"
18,0.6046454421544479,0.5946045680211323,"tensor(0.7461, device='cuda:0')","tensor(0.8546, device='cuda:0')"
19,0.6045000746341075,0.5952435975322629,"tensor(0.7416, device='cuda:0')","tensor(0.8516, device='cuda:0')"
20,0.605256477465569,0.5923833557874849,"tensor(0.7498, device='cuda:0')","tensor(0.8570, device='cuda:0')"
21,0.6041899894885088,0.5932368799896524,"tensor(0.7495, device='cuda:0')","tensor(0.8568, device='cuda:0')"
22,0.6033850014841152,0.5946561152687168,"tensor(0.7508, device='cuda:0')","tensor(0.8576, device='cuda:0')"
23,0.6043291529482704,0.5959626929004593,"tensor(0.7403, device='cuda:0')","tensor(0.8508, device='cuda:0')"
24,0.6045744219573878,0.5938175474063004,"tensor(0.7444, device='cuda:0')","tensor(0.8535, device='cuda:0')"
25,0.603248011636532,0.5952278148419786,"tensor(0.7521, device='cuda:0')","tensor(0.8585, device='cuda:0')"
26,0.6036523222544435,0.5927015514952121,"tensor(0.7509, device='cuda:0')","tensor(0.8577, device='cuda:0')"
27,0.6031755829640364,0.5946362962817201,"tensor(0.7512, device='cuda:0')","tensor(0.8579, device='cuda:0')"
28,0.6039107469683986,0.5923343445404922,"tensor(0.7505, device='cuda:0')","tensor(0.8575, device='cuda:0')"
29,0.6037048570559187,0.5945938880195712,"tensor(0.7421, device='cuda:0')","tensor(0.8519, device='cuda:0')"
30,0.6032171026503635,0.5951834976082981,"tensor(0.7453, device='cuda:0')","tensor(0.8540, device='cuda:0')"
31,0.6033814557022967,0.5918710817499916,"tensor(0.7516, device='cuda:0')","tensor(0.8582, device='cuda:0')"
32,0.6036003777536295,0.5937714805402378,"tensor(0.7458, device='cuda:0')","tensor(0.8544, device='cuda:0')"
33,0.603176605272091,0.5929521260285141,"tensor(0.7495, device='cuda:0')","tensor(0.8568, device='cuda:0')"
34,0.6038165298306336,0.5936769077388366,"tensor(0.7466, device='cuda:0')","tensor(0.8549, device='cuda:0')"
35,0.6036205034766157,0.5950267165899277,"tensor(0.7372, device='cuda:0')","tensor(0.8487, device='cuda:0')"
36,0.6032268679621866,0.5935949435328493,"tensor(0.7501, device='cuda:0')","tensor(0.8572, device='cuda:0')"
37,0.6043889577484737,0.595875410307752,"tensor(0.7447, device='cuda:0')","tensor(0.8537, device='cuda:0')"
38,0.6027605204637778,0.5936248441143791,"tensor(0.7488, device='cuda:0')","tensor(0.8564, device='cuda:0')"
39,0.6030381493649241,0.596588668846848,"tensor(0.7368, device='cuda:0')","tensor(0.8485, device='cuda:0')"
40,0.6032831963088553,0.5940467265277806,"tensor(0.7421, device='cuda:0')","tensor(0.8520, device='cuda:0')"
41,0.6029854247630653,0.5953236647171549,"tensor(0.7421, device='cuda:0')","tensor(0.8520, device='cuda:0')"
42,0.6037671954955085,0.5940685188121134,"tensor(0.7490, device='cuda:0')","tensor(0.8565, device='cuda:0')"
43,0.6036559670405873,0.5922610613674221,"tensor(0.7492, device='cuda:0')","tensor(0.8566, device='cuda:0')"
44,0.6033629657605947,0.5950432077492818,"tensor(0.7467, device='cuda:0')","tensor(0.8550, device='cuda:0')"
45,0.6030894761620942,0.5935050210740307,"tensor(0.7464, device='cuda:0')","tensor(0.8548, device='cuda:0')"
