Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6531455547122632,0.6416591745201904,"tensor(0.5131, device='cuda:0')","tensor(0.6782, device='cuda:0')"
2,0.6337145614927098,0.6056908230380257,"tensor(0.6777, device='cuda:0')","tensor(0.8079, device='cuda:0')"
3,0.6265752515045263,0.6016743643449085,"tensor(0.7051, device='cuda:0')","tensor(0.8270, device='cuda:0')"
4,0.6249367407823013,0.6028734103287801,"tensor(0.7130, device='cuda:0')","tensor(0.8324, device='cuda:0')"
5,0.6208845445160138,0.6015817638080899,"tensor(0.7103, device='cuda:0')","tensor(0.8306, device='cuda:0')"
6,0.6164206314389988,0.6019724102893679,"tensor(0.7046, device='cuda:0')","tensor(0.8267, device='cuda:0')"
7,0.6178505951065129,0.6121701733900768,"tensor(0.6353, device='cuda:0')","tensor(0.7770, device='cuda:0')"
8,0.6148943865703325,0.6031639180561104,"tensor(0.6944, device='cuda:0')","tensor(0.8196, device='cuda:0')"
9,0.6093298924171319,0.5989107350901802,"tensor(0.7120, device='cuda:0')","tensor(0.8318, device='cuda:0')"
10,0.6079787023491778,0.5950119893739719,"tensor(0.7274, device='cuda:0')","tensor(0.8422, device='cuda:0')"
11,0.6087345801672693,0.599464367226799,"tensor(0.7107, device='cuda:0')","tensor(0.8309, device='cuda:0')"
12,0.6064796440177045,0.5947437667020476,"tensor(0.7347, device='cuda:0')","tensor(0.8471, device='cuda:0')"
13,0.6068286117860826,0.597447652037781,"tensor(0.7108, device='cuda:0')","tensor(0.8310, device='cuda:0')"
14,0.6063921643515765,0.5982279019190533,"tensor(0.7243, device='cuda:0')","tensor(0.8401, device='cuda:0')"
15,0.6057775442377996,0.5993103526606418,"tensor(0.7066, device='cuda:0')","tensor(0.8281, device='cuda:0')"
16,0.6049905315799228,0.5952637186734984,"tensor(0.7351, device='cuda:0')","tensor(0.8473, device='cuda:0')"
17,0.604970391271478,0.5961764510905389,"tensor(0.7263, device='cuda:0')","tensor(0.8415, device='cuda:0')"
18,0.6044967833716991,0.5971431071215337,"tensor(0.7328, device='cuda:0')","tensor(0.8458, device='cuda:0')"
19,0.6037776025675111,0.595960652179057,"tensor(0.7258, device='cuda:0')","tensor(0.8411, device='cuda:0')"
20,0.6033580366332653,0.5970775853879381,"tensor(0.7343, device='cuda:0')","tensor(0.8468, device='cuda:0')"
21,0.6025732374292309,0.5972182718243929,"tensor(0.7243, device='cuda:0')","tensor(0.8401, device='cuda:0')"
22,0.603109280689288,0.5944225009125058,"tensor(0.7390, device='cuda:0')","tensor(0.8499, device='cuda:0')"
23,0.6016695128153946,0.5928838925786538,"tensor(0.7466, device='cuda:0')","tensor(0.8549, device='cuda:0')"
24,0.6022176477363554,0.5915687010429873,"tensor(0.7510, device='cuda:0')","tensor(0.8578, device='cuda:0')"
25,0.6017482591382528,0.5929036426662219,"tensor(0.7462, device='cuda:0')","tensor(0.8546, device='cuda:0')"
26,0.6014429661682097,0.59359209549309,"tensor(0.7462, device='cuda:0')","tensor(0.8547, device='cuda:0')"
27,0.6016955888372356,0.5956662677892364,"tensor(0.7370, device='cuda:0')","tensor(0.8486, device='cuda:0')"
28,0.6012899630655677,0.5930217330408568,"tensor(0.7470, device='cuda:0')","tensor(0.8552, device='cuda:0')"
29,0.6018181872569909,0.5959477347902732,"tensor(0.7392, device='cuda:0')","tensor(0.8500, device='cuda:0')"
30,0.6012282280598656,0.5930825539744726,"tensor(0.7477, device='cuda:0')","tensor(0.8557, device='cuda:0')"
31,0.6014467212608305,0.5953316709192673,"tensor(0.7399, device='cuda:0')","tensor(0.8505, device='cuda:0')"
32,0.6017275642035371,0.5927476623270771,"tensor(0.7448, device='cuda:0')","tensor(0.8537, device='cuda:0')"
33,0.6012088896359428,0.595224414721574,"tensor(0.7387, device='cuda:0')","tensor(0.8497, device='cuda:0')"
34,0.6005671504190413,0.5963179625497006,"tensor(0.7351, device='cuda:0')","tensor(0.8473, device='cuda:0')"
35,0.6013286641593707,0.5931939683338203,"tensor(0.7460, device='cuda:0')","tensor(0.8545, device='cuda:0')"
36,0.6012524805836759,0.5943102488423339,"tensor(0.7415, device='cuda:0')","tensor(0.8516, device='cuda:0')"
37,0.6014767521518772,0.5946268822887156,"tensor(0.7433, device='cuda:0')","tensor(0.8527, device='cuda:0')"
38,0.60139274723449,0.5938075786769981,"tensor(0.7447, device='cuda:0')","tensor(0.8537, device='cuda:0')"
39,0.6018580865051787,0.5946813296563555,"tensor(0.7416, device='cuda:0')","tensor(0.8516, device='cuda:0')"
40,0.6017778058678417,0.5962990126987495,"tensor(0.7333, device='cuda:0')","tensor(0.8461, device='cuda:0')"
41,0.601387279266018,0.5946178153009698,"tensor(0.7403, device='cuda:0')","tensor(0.8508, device='cuda:0')"
42,0.6008655259669837,0.593863692319039,"tensor(0.7447, device='cuda:0')","tensor(0.8537, device='cuda:0')"
43,0.6014473089727305,0.5955138699253006,"tensor(0.7347, device='cuda:0')","tensor(0.8471, device='cuda:0')"
44,0.6018931448964749,0.594307414080837,"tensor(0.7399, device='cuda:0')","tensor(0.8505, device='cuda:0')"
