Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6557214459625341,0.6145039699455299,"tensor(0.6523, device='cuda:0')","tensor(0.7896, device='cuda:0')"
2,0.6354015956995851,0.6132878690662951,"tensor(0.6772, device='cuda:0')","tensor(0.8076, device='cuda:0')"
3,0.6291194820808153,0.6083237977311162,"tensor(0.6884, device='cuda:0')","tensor(0.8154, device='cuda:0')"
4,0.6242821428735378,0.6054341368155904,"tensor(0.6932, device='cuda:0')","tensor(0.8188, device='cuda:0')"
5,0.6202000864481522,0.6048442190236384,"tensor(0.6950, device='cuda:0')","tensor(0.8200, device='cuda:0')"
6,0.6169129645420333,0.6079158490837211,"tensor(0.7048, device='cuda:0')","tensor(0.8268, device='cuda:0')"
7,0.6162720221584126,0.6140619236053807,"tensor(0.6554, device='cuda:0')","tensor(0.7918, device='cuda:0')"
8,0.6133763891155437,0.6010996091483843,"tensor(0.7011, device='cuda:0')","tensor(0.8243, device='cuda:0')"
9,0.611248268919476,0.605180948382557,"tensor(0.7163, device='cuda:0')","tensor(0.8347, device='cuda:0')"
10,0.6097293092032611,0.6220887796123429,"tensor(0.6670, device='cuda:0')","tensor(0.8002, device='cuda:0')"
11,0.6093944450051098,0.5976667598922654,"tensor(0.6924, device='cuda:0')","tensor(0.8183, device='cuda:0')"
12,0.6070611216759277,0.5978107759267977,"tensor(0.7405, device='cuda:0')","tensor(0.8509, device='cuda:0')"
13,0.6075178218089928,0.6010157342004304,"tensor(0.6961, device='cuda:0')","tensor(0.8208, device='cuda:0')"
14,0.6051954548742812,0.5966135225083569,"tensor(0.7192, device='cuda:0')","tensor(0.8367, device='cuda:0')"
15,0.6052637307320611,0.5979386337912909,"tensor(0.7207, device='cuda:0')","tensor(0.8377, device='cuda:0')"
16,0.6030954955998113,0.5906618092909898,"tensor(0.7430, device='cuda:0')","tensor(0.8525, device='cuda:0')"
17,0.6022023247965311,0.5954752502465012,"tensor(0.7191, device='cuda:0')","tensor(0.8366, device='cuda:0')"
18,0.6022096000990625,0.5921134270063722,"tensor(0.7288, device='cuda:0')","tensor(0.8431, device='cuda:0')"
19,0.6034313139774031,0.5867002954577455,"tensor(0.7624, device='cuda:0')","tensor(0.8652, device='cuda:0')"
20,0.6011769142696413,0.598810073172692,"tensor(0.7097, device='cuda:0')","tensor(0.8302, device='cuda:0')"
21,0.6006388156595877,0.5919833684911823,"tensor(0.7464, device='cuda:0')","tensor(0.8548, device='cuda:0')"
22,0.6000348236096107,0.5919589710117567,"tensor(0.7328, device='cuda:0')","tensor(0.8458, device='cuda:0')"
23,0.5991847809340994,0.5933238486252209,"tensor(0.7211, device='cuda:0')","tensor(0.8379, device='cuda:0')"
24,0.5964716277637724,0.5904960381512595,"tensor(0.7500, device='cuda:0')","tensor(0.8571, device='cuda:0')"
25,0.5946001549393444,0.5879668838316852,"tensor(0.7630, device='cuda:0')","tensor(0.8656, device='cuda:0')"
26,0.5958213280823271,0.5872713365767261,"tensor(0.7642, device='cuda:0')","tensor(0.8663, device='cuda:0')"
27,0.5941002529303906,0.5864916933645116,"tensor(0.7733, device='cuda:0')","tensor(0.8722, device='cuda:0')"
28,0.5937813823505983,0.5883992222866209,"tensor(0.7594, device='cuda:0')","tensor(0.8632, device='cuda:0')"
29,0.5931147240986259,0.5862415857834391,"tensor(0.7730, device='cuda:0')","tensor(0.8720, device='cuda:0')"
30,0.5934278817247536,0.5865264570358957,"tensor(0.7720, device='cuda:0')","tensor(0.8713, device='cuda:0')"
31,0.5931104477179252,0.5863920526929421,"tensor(0.7674, device='cuda:0')","tensor(0.8684, device='cuda:0')"
32,0.5924118022292347,0.5862053396678207,"tensor(0.7693, device='cuda:0')","tensor(0.8696, device='cuda:0')"
33,0.5917325567896083,0.5868577833222871,"tensor(0.7680, device='cuda:0')","tensor(0.8688, device='cuda:0')"
34,0.5914298760688911,0.5861482502210258,"tensor(0.7708, device='cuda:0')","tensor(0.8706, device='cuda:0')"
35,0.5911967847811974,0.5863093934436836,"tensor(0.7704, device='cuda:0')","tensor(0.8703, device='cuda:0')"
36,0.5920382745690265,0.5864965231111734,"tensor(0.7704, device='cuda:0')","tensor(0.8703, device='cuda:0')"
37,0.5916893535246284,0.5862461992419592,"tensor(0.7713, device='cuda:0')","tensor(0.8709, device='cuda:0')"
38,0.5913205827444287,0.5865630029451729,"tensor(0.7708, device='cuda:0')","tensor(0.8706, device='cuda:0')"
39,0.591206352589494,0.5868353029288867,"tensor(0.7705, device='cuda:0')","tensor(0.8704, device='cuda:0')"
40,0.5915404300568468,0.5864914496346275,"tensor(0.7695, device='cuda:0')","tensor(0.8697, device='cuda:0')"
41,0.5923138515929044,0.585996004319427,"tensor(0.7718, device='cuda:0')","tensor(0.8712, device='cuda:0')"
42,0.5921209186820661,0.5862438174167482,"tensor(0.7712, device='cuda:0')","tensor(0.8708, device='cuda:0')"
43,0.5917924972156346,0.586574794337301,"tensor(0.7727, device='cuda:0')","tensor(0.8718, device='cuda:0')"
44,0.5911397879659119,0.5866147444979979,"tensor(0.7704, device='cuda:0')","tensor(0.8703, device='cuda:0')"
45,0.5917547779568171,0.5861373204405945,"tensor(0.7710, device='cuda:0')","tensor(0.8707, device='cuda:0')"
46,0.5917668780785496,0.5866390720452412,"tensor(0.7705, device='cuda:0')","tensor(0.8704, device='cuda:0')"
47,0.5922440704652818,0.5864037127778081,"tensor(0.7699, device='cuda:0')","tensor(0.8700, device='cuda:0')"
