Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6393473371863365,0.5927012229319846,"tensor(0.6204, device='cuda:0')","tensor(0.7657, device='cuda:0')"
2,0.6244015781429865,0.5897555202245712,"tensor(0.6490, device='cuda:0')","tensor(0.7871, device='cuda:0')"
3,0.6148127463283175,0.5802624775926666,"tensor(0.7192, device='cuda:0')","tensor(0.8366, device='cuda:0')"
4,0.6094527380319975,0.5793595010101205,"tensor(0.7251, device='cuda:0')","tensor(0.8407, device='cuda:0')"
5,0.6049125505832292,0.5863217316051521,"tensor(0.6843, device='cuda:0')","tensor(0.8126, device='cuda:0')"
6,0.600116227958667,0.5711472711645731,"tensor(0.7289, device='cuda:0')","tensor(0.8432, device='cuda:0')"
7,0.6007038152192609,0.5728274825775977,"tensor(0.7286, device='cuda:0')","tensor(0.8430, device='cuda:0')"
8,0.5974913267260891,0.5716985632287394,"tensor(0.7279, device='cuda:0')","tensor(0.8425, device='cuda:0')"
9,0.5951510778928207,0.5766681069784826,"tensor(0.7156, device='cuda:0')","tensor(0.8342, device='cuda:0')"
10,0.5936173650167756,0.5782072488034126,"tensor(0.7171, device='cuda:0')","tensor(0.8352, device='cuda:0')"
11,0.5865996778642727,0.5651231682536626,"tensor(0.7602, device='cuda:0')","tensor(0.8637, device='cuda:0')"
12,0.5857355160228277,0.5674365651194412,"tensor(0.7496, device='cuda:0')","tensor(0.8569, device='cuda:0')"
13,0.5848350108174954,0.5682660510929505,"tensor(0.7539, device='cuda:0')","tensor(0.8597, device='cuda:0')"
14,0.5829088697367806,0.569036074794165,"tensor(0.7500, device='cuda:0')","tensor(0.8571, device='cuda:0')"
15,0.5843761977502855,0.5658531395515592,"tensor(0.7535, device='cuda:0')","tensor(0.8594, device='cuda:0')"
16,0.5809482171247571,0.5695147458279487,"tensor(0.7496, device='cuda:0')","tensor(0.8569, device='cuda:0')"
17,0.5826517918099792,0.5668175370976476,"tensor(0.7525, device='cuda:0')","tensor(0.8588, device='cuda:0')"
18,0.5817992035615243,0.5661155544590242,"tensor(0.7545, device='cuda:0')","tensor(0.8600, device='cuda:0')"
19,0.5826618507251902,0.5664729961369297,"tensor(0.7524, device='cuda:0')","tensor(0.8587, device='cuda:0')"
20,0.5815616126914146,0.5673578936274689,"tensor(0.7479, device='cuda:0')","tensor(0.8558, device='cuda:0')"
21,0.5832579956090046,0.5667694987046836,"tensor(0.7486, device='cuda:0')","tensor(0.8562, device='cuda:0')"
