Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.658123046317763,0.6620697730248517,"tensor(0.3431, device='cuda:0')","tensor(0.5109, device='cuda:0')"
2,0.6406902172785423,0.6314456805144206,"tensor(0.6274, device='cuda:0')","tensor(0.7710, device='cuda:0')"
3,0.6334490626260306,0.6129384057799189,"tensor(0.6687, device='cuda:0')","tensor(0.8014, device='cuda:0')"
4,0.6266354397650362,0.6035261948657508,"tensor(0.6931, device='cuda:0')","tensor(0.8188, device='cuda:0')"
5,0.6226012561379409,0.6332953783250092,"tensor(0.5925, device='cuda:0')","tensor(0.7441, device='cuda:0')"
6,0.6196132089591102,0.6075595019772502,"tensor(0.6565, device='cuda:0')","tensor(0.7926, device='cuda:0')"
7,0.6174878957478896,0.6023433617878668,"tensor(0.7039, device='cuda:0')","tensor(0.8262, device='cuda:0')"
8,0.6145164898003146,0.6374711063828798,"tensor(0.5583, device='cuda:0')","tensor(0.7166, device='cuda:0')"
9,0.61248597363652,0.6231929522634733,"tensor(0.6084, device='cuda:0')","tensor(0.7566, device='cuda:0')"
10,0.6122504191459299,0.6105455039161267,"tensor(0.6547, device='cuda:0')","tensor(0.7913, device='cuda:0')"
11,0.6101256445887738,0.6185839712472245,"tensor(0.6436, device='cuda:0')","tensor(0.7832, device='cuda:0')"
12,0.6056256215557188,0.6055042369678469,"tensor(0.6839, device='cuda:0')","tensor(0.8123, device='cuda:0')"
13,0.6026392137574492,0.6038053421543377,"tensor(0.6955, device='cuda:0')","tensor(0.8204, device='cuda:0')"
14,0.6008883722892875,0.6027211319692064,"tensor(0.6998, device='cuda:0')","tensor(0.8234, device='cuda:0')"
15,0.6010145551326546,0.6091112921586131,"tensor(0.6702, device='cuda:0')","tensor(0.8025, device='cuda:0')"
16,0.6009478431554514,0.6040820509637936,"tensor(0.6878, device='cuda:0')","tensor(0.8150, device='cuda:0')"
17,0.6005989148786187,0.6015302820666002,"tensor(0.7069, device='cuda:0')","tensor(0.8283, device='cuda:0')"
18,0.599921499778964,0.6064039607449333,"tensor(0.6756, device='cuda:0')","tensor(0.8064, device='cuda:0')"
19,0.6000587543905224,0.6093799263091371,"tensor(0.6597, device='cuda:0')","tensor(0.7949, device='cuda:0')"
20,0.6006937673906001,0.609287277527965,"tensor(0.6660, device='cuda:0')","tensor(0.7995, device='cuda:0')"
21,0.5998554605188704,0.6083314359778225,"tensor(0.6759, device='cuda:0')","tensor(0.8066, device='cuda:0')"
22,0.5998623488374125,0.6052308281754503,"tensor(0.6842, device='cuda:0')","tensor(0.8125, device='cuda:0')"
23,0.6005169053661735,0.6090695044339294,"tensor(0.6695, device='cuda:0')","tensor(0.8020, device='cuda:0')"
24,0.5996446039681723,0.6039590724919102,"tensor(0.6911, device='cuda:0')","tensor(0.8174, device='cuda:0')"
25,0.6007861090490193,0.6135333436402944,"tensor(0.6488, device='cuda:0')","tensor(0.7870, device='cuda:0')"
26,0.5999123022386909,0.6076872040434639,"tensor(0.6688, device='cuda:0')","tensor(0.8015, device='cuda:0')"
27,0.6002290945733213,0.602555685482993,"tensor(0.6930, device='cuda:0')","tensor(0.8187, device='cuda:0')"
28,0.6004947668863885,0.6047652774665615,"tensor(0.6870, device='cuda:0')","tensor(0.8145, device='cuda:0')"
29,0.5998724860199436,0.6071544436387496,"tensor(0.6810, device='cuda:0')","tensor(0.8102, device='cuda:0')"
30,0.5990687311011685,0.607434354796268,"tensor(0.6778, device='cuda:0')","tensor(0.8080, device='cuda:0')"
31,0.6003920056344596,0.604582942358338,"tensor(0.6875, device='cuda:0')","tensor(0.8148, device='cuda:0')"
32,0.6000268077230908,0.6060464864615167,"tensor(0.6938, device='cuda:0')","tensor(0.8192, device='cuda:0')"
33,0.6002574686597033,0.6070921284579994,"tensor(0.6740, device='cuda:0')","tensor(0.8053, device='cuda:0')"
34,0.5997483575141822,0.6062091656102992,"tensor(0.6755, device='cuda:0')","tensor(0.8064, device='cuda:0')"
35,0.5992911798703708,0.6101538790482106,"tensor(0.6635, device='cuda:0')","tensor(0.7977, device='cuda:0')"
36,0.6006585745771009,0.6096033950400824,"tensor(0.6663, device='cuda:0')","tensor(0.7997, device='cuda:0')"
37,0.6003788691626374,0.6009410854318354,"tensor(0.7005, device='cuda:0')","tensor(0.8239, device='cuda:0')"
