Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6350985385982667,0.6064922626655881,"tensor(0.6064, device='cuda:0')","tensor(0.7550, device='cuda:0')"
2,0.6233446592370332,0.6011512577533722,"tensor(0.6180, device='cuda:0')","tensor(0.7639, device='cuda:0')"
3,0.6138495487808171,0.5814920157784282,"tensor(0.6916, device='cuda:0')","tensor(0.8177, device='cuda:0')"
4,0.6079622553819317,0.5911422144658495,"tensor(0.6533, device='cuda:0')","tensor(0.7903, device='cuda:0')"
5,0.6053810761767929,0.5823796210017534,"tensor(0.6928, device='cuda:0')","tensor(0.8185, device='cuda:0')"
6,0.6019723498088828,0.5836741974448213,"tensor(0.6893, device='cuda:0')","tensor(0.8161, device='cuda:0')"
7,0.5976494416215662,0.5890333046122352,"tensor(0.6688, device='cuda:0')","tensor(0.8016, device='cuda:0')"
8,0.5965751395008322,0.5659913870662746,"tensor(0.7432, device='cuda:0')","tensor(0.8527, device='cuda:0')"
9,0.5964699032069263,0.5942430165734621,"tensor(0.6323, device='cuda:0')","tensor(0.7748, device='cuda:0')"
10,0.5940097667024298,0.5658602237996488,"tensor(0.7386, device='cuda:0')","tensor(0.8496, device='cuda:0')"
11,0.593042305970596,0.5914572686842172,"tensor(0.6486, device='cuda:0')","tensor(0.7869, device='cuda:0')"
12,0.589133634405621,0.5898534196733248,"tensor(0.6195, device='cuda:0')","tensor(0.7651, device='cuda:0')"
13,0.586659004375086,0.566754675737702,"tensor(0.7408, device='cuda:0')","tensor(0.8511, device='cuda:0')"
14,0.5837123155972715,0.5745754547343396,"tensor(0.7064, device='cuda:0')","tensor(0.8280, device='cuda:0')"
15,0.5828517495449317,0.573121225627342,"tensor(0.7160, device='cuda:0')","tensor(0.8345, device='cuda:0')"
16,0.580591789304705,0.5723565399351687,"tensor(0.7186, device='cuda:0')","tensor(0.8362, device='cuda:0')"
17,0.5812762691560438,0.5720203740171866,"tensor(0.7154, device='cuda:0')","tensor(0.8341, device='cuda:0')"
18,0.5809078293584161,0.5711281624170813,"tensor(0.7213, device='cuda:0')","tensor(0.8381, device='cuda:0')"
