Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6681446827064126,0.6091861798621641,"tensor(0.6131, device='cuda:0')","tensor(0.7601, device='cuda:0')"
2,0.6219450477826394,0.6067614416674812,"tensor(0.6538, device='cuda:0')","tensor(0.7907, device='cuda:0')"
3,0.6168545261025429,0.593991087509854,"tensor(0.6770, device='cuda:0')","tensor(0.8074, device='cuda:0')"
4,0.6112851768226947,0.5875658212911965,"tensor(0.7044, device='cuda:0')","tensor(0.8266, device='cuda:0')"
5,0.6109186059842675,0.5931801751698598,"tensor(0.6897, device='cuda:0')","tensor(0.8163, device='cuda:0')"
6,0.6072010546922684,0.5869791410347023,"tensor(0.7048, device='cuda:0')","tensor(0.8269, device='cuda:0')"
7,0.6042523755360458,0.5914286705526975,"tensor(0.7014, device='cuda:0')","tensor(0.8245, device='cuda:0')"
8,0.6044201706930742,0.5816792771957888,"tensor(0.7183, device='cuda:0')","tensor(0.8360, device='cuda:0')"
9,0.603116148482945,0.5827657612833647,"tensor(0.7056, device='cuda:0')","tensor(0.8274, device='cuda:0')"
10,0.6008081703873004,0.6000215712160167,"tensor(0.6864, device='cuda:0')","tensor(0.8141, device='cuda:0')"
11,0.6010647135770927,0.5827413198381367,"tensor(0.7215, device='cuda:0')","tensor(0.8382, device='cuda:0')"
12,0.5998192342408633,0.5776159987591281,"tensor(0.7161, device='cuda:0')","tensor(0.8346, device='cuda:0')"
13,0.6001546785740529,0.590928322017783,"tensor(0.7075, device='cuda:0')","tensor(0.8287, device='cuda:0')"
14,0.5987608906323627,0.5721592767403858,"tensor(0.7213, device='cuda:0')","tensor(0.8381, device='cuda:0')"
15,0.5969533744757458,0.5894766202067384,"tensor(0.7013, device='cuda:0')","tensor(0.8244, device='cuda:0')"
16,0.5974091362144988,0.5754298576624086,"tensor(0.7156, device='cuda:0')","tensor(0.8343, device='cuda:0')"
17,0.593111925584785,0.5784682144622991,"tensor(0.7263, device='cuda:0')","tensor(0.8415, device='cuda:0')"
18,0.5946093178906683,0.5800924737854759,"tensor(0.7300, device='cuda:0')","tensor(0.8439, device='cuda:0')"
19,0.5926689323732408,0.5772285440770706,"tensor(0.7293, device='cuda:0')","tensor(0.8434, device='cuda:0')"
20,0.5949218333777735,0.5808448570199533,"tensor(0.7294, device='cuda:0')","tensor(0.8435, device='cuda:0')"
21,0.5951758014448618,0.576695707174811,"tensor(0.7306, device='cuda:0')","tensor(0.8443, device='cuda:0')"
22,0.5921590660335654,0.5821638231230254,"tensor(0.7264, device='cuda:0')","tensor(0.8415, device='cuda:0')"
23,0.5936299878156791,0.5774381145982459,"tensor(0.7379, device='cuda:0')","tensor(0.8492, device='cuda:0')"
24,0.5937798394490097,0.5762491922567387,"tensor(0.7291, device='cuda:0')","tensor(0.8433, device='cuda:0')"
25,0.5910157369355024,0.5831699403795866,"tensor(0.7368, device='cuda:0')","tensor(0.8484, device='cuda:0')"
26,0.593336811383902,0.5788489462125419,"tensor(0.7356, device='cuda:0')","tensor(0.8476, device='cuda:0')"
27,0.5937353084653111,0.5821115826026048,"tensor(0.7258, device='cuda:0')","tensor(0.8411, device='cuda:0')"
28,0.5934276801802344,0.579251379364788,"tensor(0.7267, device='cuda:0')","tensor(0.8417, device='cuda:0')"
29,0.5924514557345438,0.5846170552886358,"tensor(0.7252, device='cuda:0')","tensor(0.8407, device='cuda:0')"
30,0.5916672963964738,0.582361087350562,"tensor(0.7277, device='cuda:0')","tensor(0.8424, device='cuda:0')"
31,0.5926265283408811,0.5780184599432615,"tensor(0.7229, device='cuda:0')","tensor(0.8392, device='cuda:0')"
32,0.594223094567404,0.5839503531408782,"tensor(0.7288, device='cuda:0')","tensor(0.8431, device='cuda:0')"
33,0.5921740769329717,0.5829929874675108,"tensor(0.7278, device='cuda:0')","tensor(0.8425, device='cuda:0')"
