Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6407430660674127,0.6096581666186305,"tensor(0.6017, device='cuda:0')","tensor(0.7513, device='cuda:0')"
2,0.6197335658815958,0.5933529789199924,"tensor(0.6559, device='cuda:0')","tensor(0.7922, device='cuda:0')"
3,0.6112840410511372,0.5954737452292206,"tensor(0.7171, device='cuda:0')","tensor(0.8353, device='cuda:0')"
4,0.6051643516047526,0.5865580598906716,"tensor(0.6703, device='cuda:0')","tensor(0.8026, device='cuda:0')"
5,0.6031863916728456,0.605990783560394,"tensor(0.5890, device='cuda:0')","tensor(0.7414, device='cuda:0')"
6,0.5984597536972014,0.5747797825548908,"tensor(0.7325, device='cuda:0')","tensor(0.8456, device='cuda:0')"
7,0.5955420564544402,0.5766705599161658,"tensor(0.7041, device='cuda:0')","tensor(0.8264, device='cuda:0')"
8,0.5948407539497997,0.5643466089916701,"tensor(0.7573, device='cuda:0')","tensor(0.8619, device='cuda:0')"
9,0.595212683334189,0.5929340880991208,"tensor(0.6323, device='cuda:0')","tensor(0.7747, device='cuda:0')"
10,0.5924029454462609,0.5761060267686844,"tensor(0.7467, device='cuda:0')","tensor(0.8550, device='cuda:0')"
11,0.5903391111326419,0.5743787176538222,"tensor(0.7286, device='cuda:0')","tensor(0.8430, device='cuda:0')"
12,0.5890355669593407,0.5951341617815565,"tensor(0.6376, device='cuda:0')","tensor(0.7787, device='cuda:0')"
13,0.5861097984647347,0.5730945262873527,"tensor(0.7361, device='cuda:0')","tensor(0.8480, device='cuda:0')"
14,0.5830669685314267,0.5674194028176883,"tensor(0.7576, device='cuda:0')","tensor(0.8621, device='cuda:0')"
15,0.5803208666206416,0.5647415984975229,"tensor(0.7617, device='cuda:0')","tensor(0.8647, device='cuda:0')"
16,0.5797037494258356,0.5705571671818742,"tensor(0.7499, device='cuda:0')","tensor(0.8571, device='cuda:0')"
17,0.5786768722710973,0.5685847668659569,"tensor(0.7590, device='cuda:0')","tensor(0.8630, device='cuda:0')"
18,0.5792035180759632,0.566341836411174,"tensor(0.7620, device='cuda:0')","tensor(0.8649, device='cuda:0')"
19,0.5776707438467923,0.5665412757656362,"tensor(0.7620, device='cuda:0')","tensor(0.8649, device='cuda:0')"
20,0.5787448324263096,0.5609275329821181,"tensor(0.7717, device='cuda:0')","tensor(0.8712, device='cuda:0')"
21,0.5784379973755045,0.5637757689645975,"tensor(0.7667, device='cuda:0')","tensor(0.8680, device='cuda:0')"
22,0.5754335589580617,0.5681451210881224,"tensor(0.7586, device='cuda:0')","tensor(0.8627, device='cuda:0')"
23,0.5780984155076035,0.5634840657510379,"tensor(0.7662, device='cuda:0')","tensor(0.8676, device='cuda:0')"
24,0.5785824241021932,0.5644026079980453,"tensor(0.7407, device='cuda:0')","tensor(0.8510, device='cuda:0')"
25,0.5751845148407807,0.5630085425506725,"tensor(0.7672, device='cuda:0')","tensor(0.8682, device='cuda:0')"
26,0.574374030075841,0.5610254988221839,"tensor(0.7706, device='cuda:0')","tensor(0.8705, device='cuda:0')"
27,0.575696129920119,0.5615393381455157,"tensor(0.7698, device='cuda:0')","tensor(0.8699, device='cuda:0')"
28,0.5761261973845757,0.562783640726368,"tensor(0.7651, device='cuda:0')","tensor(0.8669, device='cuda:0')"
29,0.5749187983446202,0.5614489722664994,"tensor(0.7712, device='cuda:0')","tensor(0.8708, device='cuda:0')"
30,0.5751625146653693,0.5622836486390321,"tensor(0.7724, device='cuda:0')","tensor(0.8716, device='cuda:0')"
31,0.5752509145413415,0.5634582376126016,"tensor(0.7731, device='cuda:0')","tensor(0.8720, device='cuda:0')"
32,0.5749450942848698,0.5613916170331511,"tensor(0.7750, device='cuda:0')","tensor(0.8733, device='cuda:0')"
33,0.5740824419436819,0.5648169675380876,"tensor(0.7712, device='cuda:0')","tensor(0.8708, device='cuda:0')"
34,0.5749328160437487,0.5615593835268871,"tensor(0.7676, device='cuda:0')","tensor(0.8685, device='cuda:0')"
35,0.5755920554748026,0.5623363800863228,"tensor(0.7719, device='cuda:0')","tensor(0.8713, device='cuda:0')"
36,0.5728905952330363,0.5610743726391604,"tensor(0.7739, device='cuda:0')","tensor(0.8726, device='cuda:0')"
37,0.5760800328926515,0.562728402490663,"tensor(0.7662, device='cuda:0')","tensor(0.8676, device='cuda:0')"
38,0.5745220574534545,0.5615293836534614,"tensor(0.7686, device='cuda:0')","tensor(0.8692, device='cuda:0')"
39,0.5734393993171595,0.5633263452218311,"tensor(0.7736, device='cuda:0')","tensor(0.8723, device='cuda:0')"
40,0.5749677473963317,0.5615081593836888,"tensor(0.7735, device='cuda:0')","tensor(0.8723, device='cuda:0')"
41,0.5755645049325491,0.5616228225650174,"tensor(0.7702, device='cuda:0')","tensor(0.8702, device='cuda:0')"
42,0.5736203549145642,0.5620306833545761,"tensor(0.7678, device='cuda:0')","tensor(0.8687, device='cuda:0')"
