Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6503727034492007,0.6287351086883262,"tensor(0.6330, device='cuda:0')","tensor(0.7753, device='cuda:0')"
2,0.6335401743397875,0.612563907952592,"tensor(0.6724, device='cuda:0')","tensor(0.8041, device='cuda:0')"
3,0.6261738681439626,0.6009830441510323,"tensor(0.7179, device='cuda:0')","tensor(0.8358, device='cuda:0')"
4,0.6214173287153244,0.6032400207944436,"tensor(0.7074, device='cuda:0')","tensor(0.8286, device='cuda:0')"
5,0.6192018438951444,0.6276437138566876,"tensor(0.5873, device='cuda:0')","tensor(0.7400, device='cuda:0')"
6,0.6176227971406306,0.6259882475184922,"tensor(0.6283, device='cuda:0')","tensor(0.7717, device='cuda:0')"
7,0.6142458971274101,0.6024006333681616,"tensor(0.7126, device='cuda:0')","tensor(0.8322, device='cuda:0')"
8,0.6084609109340078,0.6043904572725296,"tensor(0.7135, device='cuda:0')","tensor(0.8328, device='cuda:0')"
9,0.6066070761594732,0.6106342341345136,"tensor(0.7150, device='cuda:0')","tensor(0.8338, device='cuda:0')"
10,0.6059519741999901,0.6006903427072091,"tensor(0.7237, device='cuda:0')","tensor(0.8397, device='cuda:0')"
11,0.6047361655381777,0.5992339297686473,"tensor(0.7316, device='cuda:0')","tensor(0.8450, device='cuda:0')"
12,0.6051871782263457,0.6103179892986128,"tensor(0.6815, device='cuda:0')","tensor(0.8106, device='cuda:0')"
13,0.6035642283574,0.6080722618516129,"tensor(0.7159, device='cuda:0')","tensor(0.8344, device='cuda:0')"
14,0.6029231488325838,0.609667362405522,"tensor(0.7222, device='cuda:0')","tensor(0.8387, device='cuda:0')"
15,0.6032358971187624,0.6159462210270438,"tensor(0.7192, device='cuda:0')","tensor(0.8366, device='cuda:0')"
16,0.6015196781668622,0.6044818655689164,"tensor(0.7219, device='cuda:0')","tensor(0.8385, device='cuda:0')"
17,0.6015881250091528,0.5996005948227231,"tensor(0.7260, device='cuda:0')","tensor(0.8413, device='cuda:0')"
18,0.602084179740336,0.5990268543805226,"tensor(0.7297, device='cuda:0')","tensor(0.8437, device='cuda:0')"
19,0.6014069136926683,0.6001451902165271,"tensor(0.7262, device='cuda:0')","tensor(0.8414, device='cuda:0')"
20,0.6012151591100935,0.602721379535033,"tensor(0.7297, device='cuda:0')","tensor(0.8437, device='cuda:0')"
21,0.601027553364382,0.6009135623969654,"tensor(0.7273, device='cuda:0')","tensor(0.8421, device='cuda:0')"
22,0.6012554819048461,0.598712619430948,"tensor(0.7266, device='cuda:0')","tensor(0.8416, device='cuda:0')"
23,0.6008461598875159,0.6018527850951298,"tensor(0.7195, device='cuda:0')","tensor(0.8369, device='cuda:0')"
24,0.6008758637738429,0.5986376668852155,"tensor(0.7338, device='cuda:0')","tensor(0.8465, device='cuda:0')"
25,0.6015233377910266,0.604056602952504,"tensor(0.7312, device='cuda:0')","tensor(0.8447, device='cuda:0')"
26,0.6007760120397907,0.6072490528078363,"tensor(0.7270, device='cuda:0')","tensor(0.8419, device='cuda:0')"
27,0.6000689975917339,0.6015603114472757,"tensor(0.7290, device='cuda:0')","tensor(0.8433, device='cuda:0')"
28,0.6013832405462103,0.6006968683830582,"tensor(0.7307, device='cuda:0')","tensor(0.8444, device='cuda:0')"
29,0.6018519841008267,0.5997214717145013,"tensor(0.7300, device='cuda:0')","tensor(0.8439, device='cuda:0')"
30,0.6009587272370266,0.6009144983669319,"tensor(0.7207, device='cuda:0')","tensor(0.8377, device='cuda:0')"
31,0.6015857102633533,0.6042497050349075,"tensor(0.7266, device='cuda:0')","tensor(0.8416, device='cuda:0')"
32,0.6015065456977335,0.5983360809559869,"tensor(0.7331, device='cuda:0')","tensor(0.8460, device='cuda:0')"
33,0.601083314582958,0.6021624026027056,"tensor(0.7257, device='cuda:0')","tensor(0.8411, device='cuda:0')"
34,0.6010108100155652,0.6074782041925015,"tensor(0.7237, device='cuda:0')","tensor(0.8397, device='cuda:0')"
35,0.6013707185195665,0.6072442279298707,"tensor(0.7255, device='cuda:0')","tensor(0.8409, device='cuda:0')"
36,0.6011546348237385,0.5991670229647419,"tensor(0.7199, device='cuda:0')","tensor(0.8372, device='cuda:0')"
37,0.6016649658144531,0.6029481126530336,"tensor(0.7067, device='cuda:0')","tensor(0.8281, device='cuda:0')"
38,0.600938366126206,0.6036310988192511,"tensor(0.7301, device='cuda:0')","tensor(0.8440, device='cuda:0')"
39,0.6012882647751752,0.6005114203337396,"tensor(0.7284, device='cuda:0')","tensor(0.8429, device='cuda:0')"
40,0.6007399638578043,0.6042172799606135,"tensor(0.7183, device='cuda:0')","tensor(0.8360, device='cuda:0')"
41,0.6009294943157899,0.6039318943967914,"tensor(0.7212, device='cuda:0')","tensor(0.8381, device='cuda:0')"
42,0.6016084701454235,0.6095611967957846,"tensor(0.7255, device='cuda:0')","tensor(0.8409, device='cuda:0')"
43,0.6010533223970461,0.6025305565926108,"tensor(0.7250, device='cuda:0')","tensor(0.8406, device='cuda:0')"
44,0.6018417381634147,0.6009580771816839,"tensor(0.7315, device='cuda:0')","tensor(0.8449, device='cuda:0')"
