Epoch,Train Loss,Val Loss,Val IoU (FG),Val Dice (FG)
1,0.6459615944679511,0.6074877952290053,"tensor(0.6292, device='cuda:0')","tensor(0.7724, device='cuda:0')"
2,0.6233166221971229,0.580860844638088,"tensor(0.6910, device='cuda:0')","tensor(0.8173, device='cuda:0')"
3,0.6204471816072019,0.5913623755816186,"tensor(0.6623, device='cuda:0')","tensor(0.7968, device='cuda:0')"
4,0.616137244943845,0.5802721165784515,"tensor(0.7035, device='cuda:0')","tensor(0.8259, device='cuda:0')"
5,0.6112678669140501,0.58158409772533,"tensor(0.6744, device='cuda:0')","tensor(0.8056, device='cuda:0')"
6,0.6083468578250731,0.5785791648201423,"tensor(0.7019, device='cuda:0')","tensor(0.8249, device='cuda:0')"
7,0.606412153880475,0.583161350228999,"tensor(0.6758, device='cuda:0')","tensor(0.8066, device='cuda:0')"
8,0.6007671358726793,0.5808343983227664,"tensor(0.6876, device='cuda:0')","tensor(0.8149, device='cuda:0')"
9,0.5990435559997114,0.5797074808932767,"tensor(0.6974, device='cuda:0')","tensor(0.8218, device='cuda:0')"
10,0.5972273335239645,0.5763424624605934,"tensor(0.7112, device='cuda:0')","tensor(0.8312, device='cuda:0')"
11,0.5964928338209451,0.5771121528774205,"tensor(0.7051, device='cuda:0')","tensor(0.8270, device='cuda:0')"
12,0.5935393540283381,0.5749470826127742,"tensor(0.7098, device='cuda:0')","tensor(0.8303, device='cuda:0')"
13,0.5928096363983922,0.5714131794353523,"tensor(0.7296, device='cuda:0')","tensor(0.8436, device='cuda:0')"
14,0.5937833257524644,0.5789194455241212,"tensor(0.7009, device='cuda:0')","tensor(0.8241, device='cuda:0')"
15,0.5924709784656258,0.5717123082958826,"tensor(0.7308, device='cuda:0')","tensor(0.8445, device='cuda:0')"
16,0.5924635196136216,0.5721454908057014,"tensor(0.7255, device='cuda:0')","tensor(0.8409, device='cuda:0')"
17,0.5911089614412542,0.5768302895940176,"tensor(0.7079, device='cuda:0')","tensor(0.8289, device='cuda:0')"
18,0.5919680935725317,0.5694612615769452,"tensor(0.7261, device='cuda:0')","tensor(0.8413, device='cuda:0')"
19,0.5902543465717364,0.5764664899889785,"tensor(0.7123, device='cuda:0')","tensor(0.8320, device='cuda:0')"
20,0.59020716867457,0.5727855495297083,"tensor(0.7289, device='cuda:0')","tensor(0.8432, device='cuda:0')"
21,0.588754853959811,0.5728921317818141,"tensor(0.7169, device='cuda:0')","tensor(0.8351, device='cuda:0')"
22,0.5890385366471137,0.5740084584691737,"tensor(0.7244, device='cuda:0')","tensor(0.8401, device='cuda:0')"
23,0.5882523782172445,0.5750286757650942,"tensor(0.7197, device='cuda:0')","tensor(0.8370, device='cuda:0')"
24,0.5910954386374708,0.5719422851458634,"tensor(0.7270, device='cuda:0')","tensor(0.8419, device='cuda:0')"
25,0.5894942617012282,0.5708204559465446,"tensor(0.7293, device='cuda:0')","tensor(0.8435, device='cuda:0')"
